time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-31T14:20:48.740Z,19.4171658,-155.2630005,1.38,2.6,ml,14,94,0.005849,0.12,hv,hv70503037,2018-07-31T14:26:33.800Z,"3km WSW of Volcano, Hawaii",earthquake,0.31,0.34,0.37,20,automatic,hv,hv
2018-07-31T14:20:44.780Z,19.4221668,-155.2599945,0.86,2.75,ml,12,158,0.001243,0.17,hv,hv70503032,2018-07-31T14:26:24.100Z,"2km WSW of Volcano, Hawaii",earthquake,0.27,0.19,0.43,21,automatic,hv,hv
2018-07-31T14:18:58.450Z,19.4080009,-155.2698364,-0.36,2.57,ml,28,40,0.01024,0.28,hv,hv70503027,2018-07-31T14:24:40.790Z,"4km SW of Volcano, Hawaii",earthquake,0.23,0.27,0.42,20,automatic,hv,hv
2018-07-31T14:18:51.460Z,19.416666,-155.2746735,1.49,2.57,ml,11,99,0.008507,0.1,hv,hv70503022,2018-07-31T14:24:31.510Z,"4km WSW of Volcano, Hawaii",earthquake,0.49,0.25,0.37,20,automatic,hv,hv
2018-07-31T14:11:47.050Z,19.3911667,-155.2765045,0.85,2.54,ml,27,43,0.004976,0.25,hv,hv70502997,2018-07-31T14:17:30.080Z,"5km SW of Volcano, Hawaii",earthquake,0.3,0.24,0.37,18,automatic,hv,hv
2018-07-31T14:06:47.410Z,19.4078331,-155.2973328,0.12,2.48,ml,22,69,0.002795,0.37,hv,hv70502982,2018-07-31T14:12:27.720Z,"6km WSW of Volcano, Hawaii",earthquake,0.41,0.19,0.4,15,automatic,hv,hv
2018-07-31T13:55:29.250Z,19.3875008,-155.2856598,0.17,2.45,ml,22,69,0.003847,0.14,hv,hv70502942,2018-07-31T14:01:10.240Z,"6km SW of Volcano, Hawaii",earthquake,0.17,0.22,0.35,15,automatic,hv,hv
2018-07-31T13:51:38.730Z,19.1865005,-155.486496,29.7,2.46,ml,22,197,0.09822,0.15,hv,hv70502922,2018-07-31T13:57:19.440Z,"2km SSW of Pahala, Hawaii",earthquake,0.83,1.28,0.36,3,automatic,hv,hv
2018-07-31T13:49:27.510Z,19.3886662,-155.2875061,0.77,2.64,ml,25,66,0.005865,0.26,hv,hv70502917,2018-07-31T13:55:13.130Z,"7km SW of Volcano, Hawaii",earthquake,0.28,0.2,0.39,16,automatic,hv,hv
2018-07-31T13:36:31.040Z,19.4125004,-155.279007,0.09,2.64,ml,42,33,0.007032,0.21,hv,hv70502862,2018-07-31T13:42:12.680Z,"4km WSW of Volcano, Hawaii",earthquake,0.23,0.18,1.89,26,automatic,hv,hv
2018-07-31T13:33:10.240Z,19.3974991,-155.2728271,0.33,2.92,ml,44,41,0.002256,0.24,hv,hv70502857,2018-07-31T13:38:50.860Z,"5km SW of Volcano, Hawaii",earthquake,0.25,0.2,3.16,34,automatic,hv,hv
2018-07-31T13:24:09.540Z,19.4018326,-155.267334,0.33,2.63,ml,42,36,0.003777,0.21,hv,hv70502832,2018-07-31T13:29:48.800Z,"4km SW of Volcano, Hawaii",earthquake,0.27,0.23,2.5,29,automatic,hv,hv
2018-07-31T13:19:08.740Z,19.4134998,-155.2821655,0.3,2.91,ml,51,22,0.004524,0.3,hv,hv70502822,2018-07-31T13:24:46.740Z,"5km WSW of Volcano, Hawaii",earthquake,0.3,0.2,3.07,35,automatic,hv,hv
2018-07-31T13:15:06.900Z,19.3899994,-155.276001,0.84,2.55,ml,23,51,0.005786,0.32,hv,hv70502807,2018-07-31T13:20:51.360Z,"6km SW of Volcano, Hawaii",earthquake,0.29,0.29,0.24,13,automatic,hv,hv
